Accuracy,BP+FE,CNN,CNN+FE,CNN+FE+HD,Caps+FE+HD,HDACAPS*
1,0.627576,0.628262363,0.739011,0.689388736,0.200893,0.200892857
2,0.664663,0.582074176,0.733173,0.67239011,0.200893,0.200892857
3,0.679258,0.619677198,0.737466,0.659340659,0.373317,0.235576923
4,0.678228,0.568337912,0.690934,0.64010989,0.548935,0.372424451
5,0.675996,0.661401099,0.708276,0.691620879,0.609547,0.586195055
6,0.719093,0.666895604,0.737122,0.757726648,0.624828,0.595982143
7,0.706387,0.627403846,0.727507,0.726991758,0.603365,0.548248626
8,0.71669,0.64217033,0.740213,0.753090659,0.594952,0.57657967
9,0.718235,0.646806319,0.742617,0.770947802,0.612809,0.606627747
10,0.723386,0.651957418,0.738839,0.764423077,0.629739,0.692307692
11,0.724588,0.653846154,0.73592,0.76510989,0.645192,0.650583791
12,0.727335,0.650068681,0.742102,0.762877747,0.643819,0.699690934
13,0.728537,0.662259615,0.745364,0.761675824,0.623386,0.562671703
14,0.727335,0.655048077,0.74399,0.769917582,0.684409,0.714800824
15,0.725446,0.65521978,0.741587,0.766483516,0.627747,0.746737637
16,0.728194,0.653846154,0.743647,0.764251374,0.687157,0.734546703
17,0.727507,0.651442308,0.742445,0.767342033,0.739011,0.73592033
18,0.730082,0.656421703,0.742102,0.769917582,0.666552,0.712396978
19,0.728365,0.65676511,0.744334,0.76614011,0.708963,0.658653846
20,0.732143,0.657967033,0.746909,0.767857143,0.692995,0.672561813
21,0.731628,0.658653846,0.744677,0.76717033,0.699348,0.745192308
22,0.729567,0.658138736,0.742102,0.768715659,0.713084,0.725446429
23,0.729739,0.656936813,0.743132,0.766998626,0.728537,0.750858516
24,0.729739,0.658653846,0.741587,0.76665522,0.751202,0.705528846
25,0.729911,0.658482143,0.744677,0.767342033,0.769059,0.775068681
26,0.729739,0.658482143,0.743304,0.766483516,0.771291,0.737465659
27,0.729911,0.657623626,0.742788,0.767513736,0.793613,0.776957418
28,0.729911,0.657623626,0.74296,0.768372253,0.773695,0.800995879
29,0.730426,0.658482143,0.742273,0.76768544,0.784341,0.777815934
30,0.730425824,0.65676511,0.749141484,0.76768544,0.78331044,0.813186813
